参考汉字	参考读音	简要解释
促掐	tshoh5khah5	刁钻：你个人金[cin]~的。
促里促掐	tshoh21li44tshoh4khah21	刁钻，程度较“促掐”深。
恶掐	oh5khah5	坏，恶：佗勿是好人，蛮~个。
恶里恶掐	oh21li44oh4khah21	程度较“恶掐”深。
疙瘩	keh5tah5	'①挑剔：你个人哪会敖[''ngau]~个萨[sah]。②心结：佗心里总归有个~的。③突起的块状东西。'
疙里疙瘩	keh21li44keh4tah21	挑剔，难弄：佗个人~个，难弄的。
显夹夹[记音]	shie33kah4kah4	形容轻浮的样子：你看佗~里个样子。
横戳枪	wan13tshoh4tshian21	比喻节外生枝：你个人有点~个喏。
穷性穷恶	jion13sin44jion44oh21	形容贪心的样子：你看你，吃出物事来~。
扭结固结[记音]	nyeu13cih4ku44cih21	形容纠缠不清：你覅来搭我~，我勿想理你。
挺胸凸肚	thin33shion44dih4dou44	形容神气活现的样子。
牵丝扳藤	chie32sy21pe21den23	比喻纠缠不清。
滑稽	wah21ci44	
发噱	fah5shiuih5	
奇出怪样	ji13tsheh4kua4yan21	稀奇古怪：佗个人有点~个。
安生	oe32sen23	安定：过~日脚[nyih ciah]。
服帖	voh21thih4	①服从，听话。②佩服：我对你~个。③（衣服）合身：伊件衣裳穿勒你身娘[nyan]蛮~个。
服服帖帖	voh21voh4thih4thih21	①服从，听话。②佩服：佗一句闲话讲得我~。
婊子式气	piau33tseh4seh4chi44	骂人像妓女。
呒大呒小	m13dou44m44siau21	没大没小：你个佬小~。
熟门熟路	zoh21men44zoh4lou21	
当着勿着	taon32zah21feh21zah23	指多此一举。
少有出见	sau33yeu44tsheh4cie44	指很少有，少见（有贬义）：真是~，搭你呒不讲头。
外行结格[记音]	nga21ghaon44cih4kah21	外行，不入门：你么就是~咧，勿懂就覅瞎讲。
懈	ga13	（关系）不亲热：我看看你俚姊妹两个有点~啘。
〇肉[无字]	hoh5nyoh5	亲热，关系好：你俚囡儿搭你~到。
着肉	zah21nyoh4	贴心：囡儿总归~点的。
热络	nyih21loh4	关系好，亲密：你俚两家头现在~到。
死蟹一只	sy33ha44ih4tsah4	形容陷于困境，无能为力，无法翻身了：你现在是~咧啘，呒不人可以帮助你咧。
道地	dau32di23	①地道：你个英语讲的~的。②周到：你事体考虑得蛮~个。
勿吃容易	feh5chih5yon55yi55	'不容易：你爷娘拿你养到敖[''ngau]大，真真~。'
真家伙	tshen32cia21hou23	形容所作的事难度大，要求高或者特别辛苦：伊个生活做出来真真~啊。
勿作兴	feh5tsoh5shin55	不算数的：伊个事体~个。
笃定	toh32din23	有把握，一定。
笃笃定定	toh5toh5din55din55	程度较“笃定”深。
推板	the32pe23	①差：你做事体~的。②动词，比……逊色：佗要稍微~几分的。
推为[记音]	the32we23	见the pe。
推板点	the32pe21tie23	差一点，稍逊一筹：佗要稍微~的。
推为点[记音]	the32we21tie23	见the pe tie。
恰恰里[记音]	khah5khah5li55	刚刚好，正好。
恰恰扣[记音]	khah5khah5khei55	见khah khah li。
稳	uen323	稳妥（可独用）：你伊次~个咧，肯定可以拿第一名。
算不来	soe44feh44le21	不合算：伊个事体~去弄个。
算数	soe44sou21	①承认有效。②表示事情完成、了结：佗么，吃着为~啘。
便当	bie21taon44	方便，容易：伊件事体~个。
戳着法	zoh21zah4fah21	碰巧。
停当	din13taon21	定了：安排~。
茄门[记音]	ga21men44	（让人）不感兴趣：伊个事体呒不意思，~相的。
空屁	khon44phi21	指什么都没有：吃着个~。
前脚后脚	zie13ciah4ghei44ciah21	形容两个人差不多时间到：你俚两个正好~。
耀光	yau21kuaon44	光荣：你考上大学，张家~个啘。
穷到溚溚渧	jion21tau44 tah5tah5ti55	形容非常之穷：佗是真真~，一分洋钱呒不。
有好呒好	yeu21hau44m44hau21	指有总比没有好。
呒手筛箩	m13shieu44sa44lou21	比喻没有办法，走投无路：现在真真~咧。
性命交关	sin44min44ciau44kue21	性命攸关。
差拟勿多[记音]	tsha44nyi44feh4tou21	差不多：两个人年龄~。
差勿多	tsha44feh4tou21	见tsha nyi feh tou。
活脱势像	weh21theh4syu44zian21	活像，非常相像：佗~佗俚亲娘。
远开八只脚	yoe21khe44 pah5tsah5ciah5	比喻相距甚远：我搭你现在~咧啘。
落拓	loh21thoh4	落魄。
好好叫	hau44hau44ciau21	'①好好地：伊介[ka]你要~做。②好好的：~个人变成现在敖[''ngau]副样子。③更加：佗是要~努力努力的。'
慢慢叫	me21me44ciau21	①慢慢地：做事体~好咧。②等一下：~，等我讲好得你再走。
隆杠[记音]	lon13kaon21	'形容太过隆重或花费物力、人力太多：敖[''ngau]点菜嗒，你忒以[theh i]~咧啘。'
隆重	lon13zon21	见lon kaon。
撩重[记音]	liau13zon21	见lon kaon。
娘[记音]	nyan113	……上（面）：苹果来勒台子~。
上	zan13	不组成方位结构时用：~去，~~下下。
上头	zan21dei44	
上面	zan21mie44	
下	wu13	
下头	wu21dei44	
下面	wu21mie44	
底下	ti33wu44	
左面	tsou44mie21	
后面	ghei21mie44	
中	tson44	
当中	taon32tson23	
正当中	tsen44taon44tson21	
当中央里	taon32tson21ian21li23	
半当中	poe44taon44tson21	
横垛里向[记音]	wan13toh4li44shian21	当中：~有块高起个物事。
突栾	deh21loe44	圈：转着一个~。
四突栾转	sy44deh4loe44tsoe21	四周，周围。“突栾”为“团”字的反切。
里向	li21shian44	
里面	li21mie44	
里头	li21dei44	
里边	li21pie44	
着着里头	zah32zah21li21dei23	最里面：学堂来勒[le leh]~。
着着里向	zah32zah21li21shian23	
外头	nga21dei44	
外面	nga21mie44	
前头	zie13dei21	
前面	zie13mie21	
后头	ghei21dei44	
后底	ghei21ti44	
后面	ghei21mie44	
边娘[记音]	pie32nyan23	边上。
边边头娘[记音]	pie32pie21dei21nyan23	见pie nyan。
旁边头	baon13pie44dei21	
旁边	baon13pie21	
隔壁	kah5pih5	
贴隔壁	thih5kah5pih5	紧挨着的隔壁。
近段	jin32doe23	附近：~阿有饭店啊？
对过	te44kou21	对面：~是一家药材店。
对面	te44mie21	见te kou。
地娘[记音]	di21nyan44	
地下	di21wu44	下面：床~有鞋子。
天娘[记音]	thie32nyan23	天上。
山娘[记音]	se32nyan23	山上。
路头娘[记音]	lou21dei44nyan21	路上。
路娘[记音]	lou21nyan44	见lou dei nyan。
街娘[记音]	ka32nyan23	街上。
墙头娘[记音]	zian13dei44nyan21	墙上。
门娘[记音]	men13nyan21	门上。
台子娘[记音]	de13tseh4nyan21	台子上，桌子上。
凳子娘[记音]	ten44tseh4nyan21	凳子上。
手里向	shieu33li44shian44	
手里	shieu33li44	
腰眼里向	iau32nge21li21shian23	
腰眼里	iau32nge21li23	
心里向	sin32li21shian23	
心里	sin32li23	
〇里向[无字]	ueh32li21shian23	家里：我来勒[le leh]~啘。
〇里[无字]	ueh32li23	见ueh li shian。
面前	mie21zie44	
眼睛门前	nge21tsin44men44zie21	眼前。
背后头	pe44ghei44dei21	
背后	pe44ghei21	
屁股后头	phi44ku44ghei44dei21/phi44ku44 ghei21dei44	
房间里向	vaon13ke44li44shian21	
房间里	vaon13ke44li21	
水里向	syu33li44shian44	
水里	syu33li44	
河里向	ghou13li44shian21	
河里	ghou13li21	
井里向	tsin33li44shian44	
井里	tsin33li44	
城里向	zen13li44shian21	
城里	zen13li21	
城外头	zen13nga44dei21	
乡下头	shian32wu21dei23	
镇娘[记音]	tsen44nyan21	镇上。
大门外头	dou21men44nga44dei21	
门外头	men13nga44dei21	
门口头	men13khei44dei21	
门口	men13khei21	
东面	ton32mie23	
东亨[记音]	ton32han23	东面。
北面	poh32mie23	
北亨[记音]	poh21han44	北面。
西面	si32mie23	
西亨[记音]	si32han23	西面。
南面	noe13mie21	
南亨[记音]	noe13han21	
朝南	zau13noe21/zau113-13 noe113	
朝北	zau13poh21/zau113-13 poh5	
朝东	zau13ton21/zau113-13 ton44	
朝西	zau13si21/zau113-13 si44	
靠东横头	khau44ton44wan44dei21	近东处。
东横头	ton32wan21dei23	
西横头	si32wan21dei23	
南横头	noe13wan44dei21	
北横头	poh32wan21dei23	
横里向	wan13li44shian21	横的方向。
竖里向	zyu21li44shian21	竖的方向。
望里向走	maon213-13 li21shian44tsei21	
望外头走	maon213-13 nga21dei44tsei21	
望东面走	maon213-13 ton32mie21tsei23	
望西面走	maon213-13 si32mie21tsei23	
望后头走	maon213-13 ghei21dei44tsei21	
望前头走	maon213-13 zie13dei44tsei21	
路东	lou21ton44/lou213-13 ton44	
路西	lou21si44/lou213-13 si44	
路南	lou21noe44/lou213-13 noe113	
路北	lou21poh4/lou213-13 poh5	
城东	zen13ton21/zen113-13 ton44	
城西	zen13si21/zen113-13 si44	
城南	zen13noe21/zen113-13 noe113	
城北	zen13poh21/zen113-13 poh5	
车子娘[记音]	tshou32tseh21nyan23	
车子后头	tshou32tseh21ghei21dei23/tshou32tseh23 ghei21dei44	
床底下	zaon13ti44wu21	
楼底下	lei13ti44wu21	
碗底砣	oe33ti44dou44	
鞋底	gha13ti21	
挖底	mah21ti44	
房子后头	vaon13tseh4ghei44dei21/vaon13tseh4 ghei21dei44	
门背后	men13pe44ghei21	
一搭	ih5tah5	一处：我俚住勒~地方。
两搭	lian13tah21	两处：我俚勿住勒一道，住勒~地方。
别搭	bih21tah4	别处：佗勿勒伊搭，来勒~。
别搭地方	bih21tah4di44faon21	别处地方。
此地	tshy33di44	
笡对过	tshia33te44kou44	斜对面：~个馄饨店。
斜对过	zia13te44kou21	见tshia te kou。
右面	yeu21mie44	
左半爿	tsou33poe44be44	
右半爿	yeu21poe44be21	
上风头	zan21fon44dei21	
下风头	wu21fon44dei21	
雨头里	yu21dei44li21	
房间里	vaon13ke44li21	
房子外头	vaon13tseh4nga44dei21/vaon13tseh4 nga21dei44	
口口头	khei33khei44dei44	靠近外边的地方：我欢喜坐勒~个。
口头	khei33dei44	见khei khei dei。
窗口	tshaon32khei23	
暗头里	oe44dei44li21	
暗里向	oe44li44shian21	
亮头里	lian21dei44li21	
远开	yoe21khe44	相隔，相距：~勿少路。
我	ngou13	
你	nyi13	
佗	dou13	他。
自家	zy21ka44	自己：我想~去看看问问。
人家	nyin13ka21	别人：~勿想理你，你就覅凑过去咧。
别人家	beh21nyin44ka21	
大家	da21ka44	
我个	ngou13keh21	我的：~书包坏落咧。
你个	nyi13keh21	你的：~头发蛮好个。
佗个	dou13keh21	他的：~老家是无锡。
我俚个	ngou13li44keh21	我们的（不包括谈话的对象）：~个房子买好咧，你来看看噢。
倷伲个	na13nyi44keh21	我们的（包括谈话的对象）：~票我买好咧，一道去吧。
你俚个	nyi13li44keh21	你们的：~房子装修的蛮好个。
佗俚个	dou13li44keh21	他们的：~儿子蛮聪明个。
伊个	i33keh4	这个：~事体你要问问我个啘。
嗯[记音]个	n33keh4	见i keh。
过[记音]个	kou33keh4	那个：~地方蛮远个。
伊样	i33yan44	这样，这个：~物事忒以[theh i]贵。
嗯[记音]样	n33yan44	见i yan。
过[记音]样	kou33yan44	那样，那个：~物事蛮便宜个。
伊点	i33tie44	这些（少）：~饼干你吃吃落吧。
嗯[记音]点	n33tie44	见i tie。
过[记音]点	kou33tie44	那些（少）：~衣裳要汏一汏。
伊性[记音]	i33sin44	这些：~人一点勿晓得安静点个。
嗯性[记音]	n33sin44	见i sin。
过性[记音]	kou33sin44	那些：~开店个人良心黑的。
伊搭	i33tah4	这里：~勿可以停车。
嗯[记音]搭	n33tah4	见i tah。
伊头	i44dei21	
嗯[记音]头	n44dei21	见i dei。
伊亨[记音]面	i44han44mie21	
伊亨[记音]	i44han21	
嗯亨面[记音]	n44han44mie21	
嗯亨[记音]	n44han21	
过[记音]搭	kou33tah4	那里：~是学堂。
过[记音]头	kou44dei21	见kou tah。
过亨面[记音]	kou44han44mie21	
过亨[记音]	kou44han21	
过排人[记音]	kou33ba44 nyin113	那些人：~只晓得吃老酒。
伊享光[记音]	i44shian44kuaon44	这时：~佗应该勿会来咧。
伊享[记音]	i44shian21	见i shian kuaon。
嗯享光[记音]	n44shian44kuaon21	见i shian kuaon。
伊享辰光[记音]	i44shian44zen44kuaon21	见i shian kuaon。
嗯享辰光[记音]	n33shian44zen44kuaon44	见i shian zen kuaon。
伊个辰光	i33keh4zen44kuaon44	见i shian kuaon。
嗯个辰光[记音]	n33keh4zen44kuaon44	见i shian kuaon。
过享光[记音]	kou44shian44kuaon21	那时：~我只有十岁。
过享辰光[记音]	kou44shian44zen44kuaon21	见kou shian kuaon。
过辰光[记音]	kou44zen44kuaon21	见kou shian kuaon。
过个辰光[记音]	kou33keh4zen44kuaon44	
伊枪势里[记音]	i44tshian44syu44li21	这段时间：~天特别热。
嗯枪势里[记音]	n33tshian44syu44li44	见i tshian syu li。
伊歇[记音]	i33shih4	这会儿：~我呒不事体，可以陪你。
嗯歇[记音]	n33shih4	见i shih。
敖则[记音]	'''nga44tseh21'	这样（做）：~搭你讲，你哪会仍旧勿明白个萨[sah]？
个么	keh5meh5	那么：~你就去问问佗。
乃么	ne21meh4	见keh meh。
罗里个[记音]	lou13li44keh21	哪个：~人是你个囡儿啊？
罗个[记音]	lou13keh21	哪个：~人是你个囡儿啊？
啥个	sa32keh23	什么：~事体啊？
啥	sa323	什么：~事体啊？
啥人	sa33nyin44	谁：~拿我个杯子拿落咧。
啥个物事	sah32keh21meh21zy23/sah32keh4 meh32zy23	什么；什么东西；也作骂人用，用法与普通话一样：~啊，你看见佗嘎？伊个是~啊？你算~啊。
啥物事	sah21meh4zy21/sa323-23 meh32zy23	见sa keh meh zy。
啥个事体	sa32keh21zy21thi23/sa32keh4 zy21thi44	什么事：你寻我有~啊？
啥事体	sa323-23 zy21thi44	什么事：你寻我有~啊？
啥辰光	sa323-23 zen13kuaon21	什么时候：~你去北京啊？
几时	ci32zy23	见sa zen kuaon。
罗搭[记音]	lou13tah21	哪里：你来[le]~啊，我来寻你。
罗里搭[记音]	lou13li44tah21	见lou tah。
罗里[记音]	lou13li21	见lou tah。
啥个地方	sa32keh21di21faon23/sa32keh4 di21faon44	见lou tah。
啥地方	sa323-23 di21faon44	见lou tah。
啥个场化[记音]	sa32keh21zan21hu23/sa32keh4 zan13hu21	见lou tah。
啥场合	sa323-23 zan13hu21	见lou tah。
别搭	bih21tah4	别的地方：佗有可能勿勒伊搭，你去~寻寻。
别处	bih21tshyu44	见bih tah。
几化[记音]	ci32hu23	多少：伊个物事~钞票啊？
为啥	we21sa44	为什么：你~要去寻相骂萨[sah]？
哪亨[记音]	na13han21	干嘛：你想~啊，阿是想吵相骂啊？
〇[无字]	nan13	'怎么，或为“哪亨”的连读：你~做敖[''ngau]种事体？'
哪啦	na13la21	'干嘛啊：~，对我敖[''ngau]凶。'
哪会	na13we21	怎么会：~事体啊，伊搭~全部是水啊？
呒啥	m21sa44	没什么：我~事体，你放心吧。
一眼呒啥啥	ih21nge44m44sa44sa21	什么也没有：你看我包里~。
我俚两个	ngou13li44lian44keh21	我们俩（排他）：~有事体的，你先转去吧。
倷伲两个	na13nyi44lian44keh21	我们俩（包括）：~去看电影吧，我买票个。
佗俚两个	dou13li44lian44keh21	他们俩：~勿晓得去啥个地方咧。
你俚两个	nyi13li44lian44keh21	你们俩：~快点睏觉吧，已经十二点咧。
娘儿两个	nyan13nyi44lian44keh21	娘儿俩。
爷儿两个	ya13nyi4lian44keh21	爷儿俩。
弟兄淘里	di21shion44dau44li21	兄弟之间。
姊妹淘里	tsi33me44dau44li44	姊妹之间。
一家头	ih21ka44dei21	一个人：我想自家~先去看看。
两家头	lian13ka44dei21	两个人：你俚~一淘去好咧。
刚刚	kaon44kaon21	刚才：我~去买菜个。
刚交	kaon44ciau21	刚刚。
恰头	khah21dei44	刚刚。
刚刚交	kaon44kaon44ciau21	刚才，程度略深：佗~出来，你就来咧。
暴[记音]	bau213	刚，一开始：~开始，我勿认得佗。
齐巧	zi32chiau23	正好：佗~过来个。
正好	tsen44hau21	见zi chiau。
马底[记音]	ma44ti21	马上：我~就要走咧，你拿物事理理好。
马上	'''ma44zan21'	
垂手	ze13shieu21	立即：你~就去办伊件事体。
豪燥[记音]	ghau13sau21	
娄娘[记音]	lei13nyan21	正在（状态发生位置较远）：佗~做作业的。
正勒娘[记音]	tsen44leh4nyan21	正在。
娄里[记音]	lei13li21	正在（状态发生位置较近）：我~帮你补衣裳啘。
带早点	ta44tsau44tie21	稍早些：你明朝~来。
光	kuaon44	只：你哪会~吃肉，勿吃蔬菜嘎。
终[记音]	tson44	也许，或许：佗~去上班咧。
作兴	tsoh21shin44	见tson。也许。
差滴滴	tsha44tih4tih21	差点：我~就昏过去咧。
偏…勿…	phie44 feh5	非……不……：佗偏佗勿嫁。
板数要	pe33sou44iau44	非要：你~要占点便宜才开心。
板要	pe33iau44	非要：你~要占点便宜才开心。
呆勒板[记音]	nge21leh4 pe34	肯定会：伊个事体，你放心好咧，~个啘。
呆板数[记音]	nge13pe44sou21	肯定会：伊个事体，你放心好咧，~个啘。
硬劲	ngan21cin44	一定：佗~要去问清爽。
保险	pau33shie44	保证：你~勿晓得情况。
吃勿准	chih5feh5tsen55	说不定，不肯定：我~佗阿想去。
背底里	pe44ti44li21	背后，私底下：佗老是~讲你坏闲话。
一淘	ih21dau44	一块儿，一起：我俚~去看电影个。
自顾自	zy21ku44zy21	自己顾自己：佗~去吃饭咧，一点勿管别人家勒娘[leh nyan]等佗。
顺带便	zen21ta44bie21	顺便：你~去看看咧啘。
究底	cieu44ti21	到底，究竟：~是啥回事体啊？
究属	cieu44zoh21	见cieu ti。究竟。
究竟	cieu32cin23	见cieu ti。
真个	tsen44keh21	真的，实在，很：~要谢谢你的。
穷	jion13	十分，特别：你谢头[zia dei]~漂亮个。
交关	ciau44kue21	①非常：我拨[peh]佗弄得~火冒。②很多：佗拨[peh]勒[leh]我~物事。
交交关关	ciau44ciau44kue44kue21	很多，比“交关”程度更深：佗买着~个物事。
非常	fi44zan21	
非常之	fi44zan44tsyu44	
来得个	le21teh4keh21	特别：佗~欢喜吃你做个糕。
来得	le21teh4	特别：佗~欢喜吃你做个糕。
野野	ya13ya21	很：你逃得~快哪亨[na han]啊？
蛮	me13	挺：佗人~好个。
蛮蛮	me13me21	非常，特别：~大。
顶	tin323	最：我~欢喜吃棒冰。
最	tse34	见tin。
最最	tse33tse44	比“最”程度更深：我~欢喜你咧。
〇足关[记音]	phan32tsoh23 kue44	至多，最多：伊个物事，~么十块差勿多咧啘。
金[记音]	cin44	特别，很：你个人~聪明的。
忒	theh5	太：饭~多咧，帮我减落点。
忒以	theh21i44	太：饭~多咧，帮我减落点。
勿罢	feh32ba23	不止：伊个里向~三十个的。
来煞勿极	le13sah4feh4jih21	等不及：佗~要去咧。
要紧勿煞	iau44cin44feh4sah21	见le sah feh jih。
（曾阿）	en44	有没有，“阿曾”的合音，你~去啦？
呒	m13	没。
勿秦[记音]	feh21zin44	未曾，尚未。
瞎	hah5	乱，胡，不认真地：我勿懂，就~做做个。
先起头	sie32chi21dei23	一开始：~我勿晓得伊件事体。
一开始	ih32khe21syu23	见sie chi dei。
一上来	ih32zan21le23	见sie chi dei。
侪	ze113	全：佗俚~去孛相[beh sian]咧。我拿衣裳~汏落咧。
统统	thon44thon21	见ze。
一塌刮子[记音]	ih5thah5kuah5tsy55	总共，一共：~两百块铜钱。
统共	thon33gon44	见ih thah kuah tsy。一个班级~六十六个人。
亨八冷打[记音]	han44pah4lan44tan21	见ih thah kuah tsy。~八十斤，拿去吧。
碰巧	ban32chiau23	
难板	ne13pe21	难得：我~转去。
难勒板[记音]	ne21leh4 pe34	难得，程度比“难板”略深：我~去个。
暂中[记音]	ze21tson44	偶尔：我~去吃吃馆子。
暂中介把[记音]	ze21tson44ka44pu21	难得几次：我~去看电影。
总归	tson44kue21	终究：你~要去问问清楚个。
〇[无字]	ya13	都：你~勿清爽啥个情况，就瞎来。
也	gha13	也：你覅去问佗，佗~勿懂个。
依[记音]	i44	又：佗~去寻佗咧。
〇[无字]	e44	还：你~去搭，关门咧啘。
〇[无字]	tse44	才：你~是坏人的。
外加	nga21ka44	加上：~佗上班忙，佬小就呒不人管咧。
真真	tsen32tsen23	很，非常，表示程度较深：你对你爷娘~好的。
存心	zen13sin21	故意：佗是~害你个。
毛	mau113	①大约，近：~三十岁。②不光滑：~玻璃。
危险	we21shie44	①差点儿。②有遭受损害或失败的可能。
危险点	we21shie44tie21	差点儿：我~跌勒河里。
险搭搭	shie33tah4tah4	差一点：我~迟到窝。
危险一滴滴	we21shi44 ih5tih5tih5	差点儿，程度比“危险”深。
天生	thie44san21	本来：佗~是勿会做人。~啘，搭你讲佗勿是好人。
本生	pen44san21	见thie san。
生天	san44thie21	见thie san。
原生	nyoe13san21	见thie san。
爽性	saon44sin21	干脆，索性：佗~勿去做生活咧。
佗性[记音]	dou13sin21	见saon sin。
白白里	bah21bah4li21	白白地：我就~吃亏咧啘。
回转来	we21tsoe44le21	回过来：~一想，觉着勿对。
为则勒[记音]	we21tseh4leh21	怪不得：~，佗勿来咧。
怪勿得	kua44feh4teh21	见we tseh leh。
正好	tsen44hau21	①刚巧，恰好。②正合适：伊双鞋你穿~。
正正好好	tsen44tsen44hau44hau21	正合适，程度比“正好”深：~十块铜钱。
大约莫则[记音]	da21iah4mah4tseh21	大约：你就~看下来就好咧。
稍微	sau44vi21	表示数量不多或程度不深：~前头去点。
原旧	nyoe13jieu21	依然，仍旧：佗~去上班个。
压末	ah5meh5	最后：佗是~一名。
迭为[记音]	dih32we23	特地：我~帮你拿被头晒好咧。
迭迭为为[记音]	dih21dih4we44we21	特地，程度比“迭为”更深：佗~去买个。
一来兴	ih32le21shin23	一下子：佗~买着勿得了个物事。
反倒	fe33tau44	反而：你帮佗，佗~要怪你。
来得	le21teh4	很，特别：你来，佗~开心的。
像煞	zian13sah21	好像，似乎：佗~去问佗过[kou]个事体个。
就算	zei21soe44	就，表示在某种条件或情况下会怎么样：~你去问佗，佗也勿会告诉你。
省得	san32teh23	
横势	wan13syu21	反正：~佗勿来，你就覅走咧。
横竖	wan13zyu21	反正：~佗勿来，你就覅走咧。
反正	fe33tsen44	见wan zyu。
幸亏	yin21khue44	表示由于偶然出现的有利条件而避免了某种不利的事情：~你呒不去，后歇来天落雨咧。
亏得	khue44teh21	多亏（反说，表示讽刺）：~你老是帮佗，佗一点勿感谢你。
亏得	chiu44teh21	多亏（反说，表示讽刺）：~你老是帮佗，佗一点勿感谢你。
亏煞得	khue44sah4teh21	程度比“亏得”更深。
横得头里	wan13teh4dei44li21	突然：佗对我~一记。
石白头里[记音]	zah21bah4dei44li21	见wan teh dei li。突然。
认真	nyin21tsen44	①尽力地：你要~问问清爽的。伊个事体你~要去办办好。②严肃对待，不马虎：~点，覅开小差。
要紧	iau44cin21	①表示急着做某事：我~要走咧，天黑咧。佗~去上班咧。②重要的：伊个事体勿~个。
要紧勿煞	iau44cin44feh4sah21	表示十分急切：佗饿煞落咧，~吃饭咧。
透	thei34	……极了：佗现在恨~你咧。
透顶	thei44tin21	……极了，比“透”程度更深：你个人啊，荒唐~。
到[记音]	tau34	……极了：你开心~。
煞[记音]	sah5	……死了，表示程度深：我要做~咧，吃力到。
煞快[记音]	sah5 khua34	……死了，比“煞”程度更深：佗气~咧。
快	khua34	做补语，表示动作即将完成，或即将达到某种状态：我吃好~咧。
拿	nou113	①把：我~佗勿晓得哪亨[na han]办。②用：我~扫帚打着佗一顿。③取：你阿~我物事啦？
对牢	te33lau44	对着：佗竟然~我大喊大叫。
勒	leh13	在，到：我~亲娘里。
来勒[记音]	le13leh21	在：我~图书馆的。
依	i44	照：~你个说话，佗勿是好人啘。
沿	ye113	顺着：~着伊条马路走就到咧。
望	maon213	朝：你~过搭看，有座桥。
当则	taon44tseh21	①当着：佗~我面说伊种闲话。②以为：我~你转去咧啘。
当	taon44	见taon tseh。
连牢	lie21lau44	①连，包括：~的你也[gha]拨[peh]佗骗。②连住，连着：两根木头~个。
为来为去	we21le44we44chi21	处处都是为了：我~是为你啘。
到	tau34	往，到达：我~学堂里去啊？
从	zon113	起于：我~街娘[nyan]来。
要么	iau44meh21	①或者：~你，~佗，总归是你俚其中一个说个假话。②“要么你”相当于“你才……呢”，表示对某种事实的否定：~你，我勿会做伊种事体个。
勿管	feh32koe23	无论，不管：~啥个情况，你总归应该先告诉我。
就是	zei21zy44	①即使：你~去，佗也[gha]勿会买你账个。②都是：~你啘，害我迭着一跤。
而况	r13khuaon21	何况：佗也[gha]朆录取，~你呢。
个么	keh5meh5	那么：~你就去看看究底哪会事体。
但必过	de21pih4kou21	但是：~就算你是对个，也[gha]勿应该凶。
一个	ih5keh5	
两个	lian13keh21	
三个	se44keh21	
四个	sy33keh4	
五个	ng13keh21	
六个	loh21keh4	
七个	tshih5keh5	
八个	pah5keh5	
九个	cieu32keh23	
十个	zeh21keh4	
十一个	zeh21ih4keh21	
十二个	zeh32nyi21keh23	
初一	tshou32ih23	
初二	tshou32nyi23	
初两	tshou32lian23	
初三	tshou32se23	
一号	ih32ghau23	
两号	lian13ghau21	
三号	se44ghau21	
十二号	zeh32nyi21ghau23	
廿号	nye32ghau23	
老大	lau32dou23	
老二	lau32nyi23	
老三	lau21se44	
老末	lau32meh23	
第一	di21ih4	
第二	di21nyi44	
第三	di21se44	
第十二	di213-13 zeh32nyi23	
第二十	di213-13 r32seh23	
一	ih5	
二	nyi213	
两	lian13	
三	se44	
四	sy34	
五	ng13	
六	loh13	
七	tshih5	
八	pah5	
九	cieu323	
十	zeh13	
十一	zeh21ih4	
十二	zeh32nyi23	
廿	nye213	
廿一	nye21ih4	
廿二	nyi21nyi44	
三十	se44seh21	
一百	ih5pah5	
一百零一	ih5pah5 lin13ih5	
一百零两	ih5pah5 lin13lian13	
一百十	ih5pah5 zeh13	
一百廿	ih5pah5 nye213	
两百	lian13pah21	
两百零两	lian21pah4 lin13lian13	
两百廿	lian21pah4 nye213	
一千	ih21tshie44	
一千零两	ih21tshie44 lin13lian13	
一千零二十	ih21tshie44 lin13 r32seh23	
一千两	ih21tshie44 lian13	
两千	lian13tshie21	
两千两	lian21tshie44 lian13	
两千两百零两	lian21tshie44 lian21pah4 lin13lian13	
两千两百廿	lian21tshie44 lian21pah4 nye213	
两千两百廿二	lian21tshie44 lian21pah4 nye21nyi44	
一万	ih32ve23	
一万零两	ih21ve44 lin13lian13	
一万零两百	ih21ve44 lin13lian44pah21	
一万两	ih32ve23-44 lian13	
两万	lian13ve21	
两万两	lian21ve44 lian13	
上百	zan21pah4	
上千	zan21tshie44	
上万	zan21ve44	
两斤	lian13cin21	
两斤半	lian21cin44 poe34	
二两	nyi32lian23	
廿两	nye32lian23	
两钱	lian13zie21	
两分	lian13fen21	
两厘	lian13li21	
两丈	lian13zan21	
两尺	lian13tshah21	
两寸	lian13tshen21	
两尺两	lian21tshah4 lian13	
两里	lian13li21	
两担	lian13te21	
两斗	lian13tei21	
两升	lian13sen21	
两样	lian13yan21	①两个，两种：有~物事要拨[peh]勒你。②不一样：伊个事体搭你过件事体就~咧。
十二斤	zeh32nyi21cin23	
几个	ci32keh23	
十几个	zeh21ci44keh21	
廿几个	nye21ci44keh21	
三十几个	se32seh21ci21keh23	
几十个	ci32seh21keh23	
几百个	ci32pah21keh23	
几千个	ci32tshie21keh23	
几万个	ci32ve21keh23	
十多个	zeh21tou44keh21	
一百多个	ih5pah5tou55keh5	
十来个	zeh21le44keh21	
百十来个	pah5zeh5le55keh5	
百把个	pah32pu21keh23	
千把个	tshie32pu21keh23	
一两个	ih32lian21keh23	
两三个	lian21se44keh21	
三四个	se32sy21keh23	
三五个	se32ng21keh23	
五六个	ng21loh4keh21	
六七个	loh21tshih4keh21	
七八个	tshih5pah5keh5	
八九个	pah32cieu21keh23	
毛毛叫	mau13mau44ciau21	大约：~十个人过来个。
